Strecke	km	freq
HAM-FRA	413  	52  
SFO-ZRH	9.399  	2  
HAM-MUC	600  	26  
CPH-ORD	6.873  	2  
CDG-IAD	6.205  	2  
EWR-HAM	6.154  	2  
BOS-CDG	5.550  	2  
DXB-KUL	5.550  	2  
EWR-LIS	5.447  	2  
FRA-SIN	10.276  	1  
DXB-HAM	4.888  	2  
DUS-HAM	340  	27  
HAM-LIS	2.200  	4  
FRA-KRT	4.390  	2  
FRA-IAH	8.419  	1  
FRA-YVR	8.086  	1  
LHR-YVR	7.601  	1  
BRU-MIA	7.472  	1  
AMS-MIA	7.456  	1  
HAM-TFS	3.575  	2  
AKL-HNL	7.063  	1  
HAM-FNC	3.148  	2  
HNL-IAH	6.283  	1  
BNE-SIN	6.155  	1  
BCN-HAM	1.493  	4  
CDG-HAM	730  	8  
LHR-YYZ	5.723  	1  
DUS-PMI	1.342  	4  
HAM-MAD	1.780  	3  
LHR-YUL	5.229  	1  
MUC-PFO	2.359  	2  
FAO-HAM	2.308  	2  
HAM-KGS	2.291  	2  
HAM-LHR	747  	6  
HAM-STR	552  	8  
CGN-HAM	364  	12  
AMS-MLA	1.982  	2  
DUS-FAO	1.968  	2  
FRA-LIS	1.960  	2  
MIA-SJO	1.797  	2  
CAI-LHR	3.536  	1  
LAS-PHL	3.503  	1  
DUS-SKG	1.729  	2  
GUA-MIA	1.637  	2  
CAI-KRT	1.614  	2  
ATH-MUC	1.519  	2  
HAM-LGW	745  	4  
CAI-FRA	2.923  	1  
ATL-LAS	2.811  	1  
HAM-NUE	466  	6  
HAM-ZRH	693  	4  
HAM-SZG	683  	4  
HAM-FCO	1.326  	2  
CAI-MUC	2.614  	1  
BRU-HAM	483  	5  
AYQ-SYD	2.180  	1  
DUS-GRO	1.087  	2  
AKL-SYD	2.164  	1  
HAM-SCN	530  	4  
BLQ-HAM	1.016  	2  
HAM-MLA	2.006  	1  
HAM-MIR	1.987  	1  
DUS-LIS	1.863  	1  
HAM-VCE	920  	2  
ATH-FRA	1.809  	1  
AYQ-CNS	1.788	1  
LEJ-MLA	1.740  	1  
BRU-VCE	837  	2  
HAM-PMI	1.659  	1  
ARN-HAM	827  	2  
FRA-MIR	1.595  	1  
MIA-TGU	1.487  	1  
LBC-STN	737  	2  
BZE-MIA	1.234  	1  
BCN-DUS	1.169  	1  
CPH-HAM	280  	4  
ATH-CAI	1.119  	1  
DUS-MUC	499  	2  
HAM-PRG	491  	2  
IAH-MSY	490  	2  
FCO-FRA	958  	1  
CGN-PSA	835  	1  
DUS-CDG	394  	2  
AGP-BCN	767  	1  
AKL-CHC	745  	1  
FCO-MUC	729  	1  
MCO-MIA	309  	2  
DUS-FRA	188  	3  
CGN-LHR	536  	1  
BOD-CDG	527  	1  
LIS-MAD	514  	1  
CAI-LXR	510  	1  
DUS-MUC	487  	1  
GVA-ZRH	231  	2  
KUL-LGK	453  	1  
AGP-MAD	433  	1  
BZE-TGU	402  	1  
FPO-MIA	180  	2  
CDG-LHR	348  	1  
FRA-MUC	311  	1  
CHC-WLG	304  	1  
HAM-LEJ	288  	1  
BCN-PMI	202  	1  
AMS-BRU	158  	1  
LGA-PHL	154  	1  
LGK-PEN	129  	1  
SJO-XQP	62  	1  
