Jahr	date	1.SV Concordia Delitzsch	Bergischer HC 06	Dormagener HC	Eintracht Hildesheim	Frisch Auf Göppingen	Füchse Berlin	GWD Minden	GWD Minden-Hannover	HBW Balingen/Weilstetten	HC Empor Rostock	HC Erlangen	HC Wuppertal	HSG Ahlen-Hamm	HSG D/M Wetzlar	HSG Düsseldorf	HSV Düsseldorf	HSG Dutenhofen/Münchh.	HSG LTV/WSV Wuppertal	HSG Nordhorn	HSG Nordhorn-Lingen	HSG TuRU Düsseldorf	HSG Wetzlar	HSV Düsseldorf	HSV Hamburg	MT Melsungen	OSC 04 Rheinhausen	Rhein-Neckar Löwen	SC Magdeburg	SG BBM Bietigheim	SG Flensburg-Handewitt	SG Kronau/Östringen	SG Leutershausen	SG Solingen	SG VfL Bad Schwartau	SG VfL/BHW Hameln	SG W/M Frankfurt	SG Wallau/Massenheim	SG Willstätt/Schutterwald	Stralsunder HV	SV Post Schwerin	TBV Lemgo	ThSV Eisenach	THW Kiel	TSG Friesenheim	TSV Bayer Dormagen	TSV Dormagen	TSV GWD Minden	TSV Hannover-Burgdorf	TSV Milbertshofen	TSV Scharnhausen	TuS Nettelstedt	TuS N-Lübbecke	TuS Schutterwald	TuSEM Essen	TV 05/07 Hüttenberg	TV 08 Niederwürzbach	TV 08 Willstätt	TV 1893 Neuhausen	TV Eitra 1910	TV Emsdetten	TV Großwallstadt	VfL Bad Schwartau	VfL Fredenbeck	VfL Gummersbach	VfL Pfullingen	VfL Pfullingen/Stuttgart	Wilhelmshavener HV
1. Spieltag 1992 / 1993	1	0	0	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	1484	0	0	0	0	0	0	1488	0	1511	0	1515	0	0	1489	0	1516	0	0	0	1510	0	1490	0	1491	0	0	0	1497	0	0	0	1509	1503	0	1512	0	0	1507	0	1493	0	1491	1485	0	0	0
2. Spieltag 1992 / 1993	2	0	0	0	0	0	0	0	0	0	1498	0	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	1498	0	1501	0	1518	0	0	1503	0	1513	0	0	0	1526	0	1504	0	1504	0	0	0	1513	0	0	0	1495	1487	0	1498	0	0	1495	0	1504	0	1503	1469	0	0	0
3. Spieltag 1992 / 1993	3	0	0	0	0	0	0	0	0	0	1495	0	0	0	0	0	0	0	0	0	0	1486	0	0	0	0	0	0	1490	0	1489	0	1502	0	0	1521	0	1506	0	0	0	1532	0	1517	0	1501	0	0	0	1520	0	0	0	1502	1504	0	1481	0	0	1477	0	1507	0	1506	1464	0	0	0
4. Spieltag 1992 / 1993	4	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	0	0	0	0	1472	0	0	0	0	0	0	1488	0	1482	0	1512	0	0	1534	0	1524	0	0	0	1515	0	1526	0	1504	0	0	0	1511	0	0	0	1492	1510	0	1484	0	0	1480	0	1520	0	1503	1462	0	0	0
5. Spieltag 1992 / 1993	5	0	0	0	0	0	0	0	0	0	1456	0	0	0	0	0	0	0	0	0	0	1484	0	0	0	0	0	0	1513	0	1479	0	1500	0	0	1526	0	1513	0	0	0	1527	0	1528	0	1512	0	0	0	1499	0	0	0	1471	1531	0	1494	0	0	1479	0	1530	0	1493	1465	0	0	0
6. Spieltag 1992 / 1993	6	0	0	0	0	0	0	0	0	0	1451	0	0	0	0	0	0	0	0	0	0	1474	0	0	0	0	0	0	1520	0	1467	0	1483	0	0	1533	0	1524	0	0	0	1529	0	1533	0	1505	0	0	0	1497	0	0	0	1474	1539	0	1511	0	0	1470	0	1523	0	1503	1463	0	0	0
7. Spieltag 1992 / 1993	7	0	0	0	0	0	0	0	0	0	1441	0	0	0	0	0	0	0	0	0	0	1486	0	0	0	0	0	0	1511	0	1478	0	1472	0	0	1545	0	1541	0	0	0	1518	0	1521	0	1517	0	0	0	1487	0	0	0	1458	1549	0	1520	0	0	1444	0	1532	0	1491	1489	0	0	0
8. Spieltag 1992 / 1993	8	0	0	0	0	0	0	0	0	0	1431	0	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	1523	0	1492	0	1484	0	0	1551	0	1547	0	0	0	1505	0	1537	0	1511	0	0	0	1474	0	0	0	1446	1556	0	1533	0	0	1437	0	1516	0	1479	1499	0	0	0
9. Spieltag 1992 / 1993	9	0	0	0	0	0	0	0	0	0	1417	0	0	0	0	0	0	0	0	0	0	1469	0	0	0	0	0	0	1514	0	1479	0	1498	0	0	1560	0	1562	0	0	0	1517	0	1522	0	1507	0	0	0	1462	0	0	0	1458	1542	0	1544	0	0	1423	0	1529	0	1495	1502	0	0	0
10. Spieltag 1992 / 1993	10	0	0	0	0	0	0	0	0	0	1406	0	0	0	0	0	0	0	0	0	0	1462	0	0	0	0	0	0	1521	0	1501	0	1509	0	0	1549	0	1572	0	0	0	1527	0	1532	0	1497	0	0	0	1468	0	0	0	1448	1553	0	1523	0	0	1417	0	1519	0	1484	1512	0	0	0
11. Spieltag 1992 / 1993	11	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	1529	0	1502	0	1498	0	0	1547	0	1554	0	0	0	1545	0	1525	0	1508	0	0	0	1482	0	0	0	1447	1556	0	1524	0	0	1399	0	1538	0	1467	1529	0	0	0
12. Spieltag 1992 / 1993	12	0	0	0	0	0	0	0	0	0	1384	0	0	0	0	0	0	0	0	0	0	1454	0	0	0	0	0	0	1521	0	1498	0	1512	0	0	1559	0	1563	0	0	0	1553	0	1530	0	1497	0	0	0	1493	0	0	0	1451	1564	0	1532	0	0	1391	0	1523	0	1458	1517	0	0	0
13. Spieltag 1992 / 1993	13	0	0	0	0	0	0	0	0	0	1396	0	0	0	0	0	0	0	0	0	0	1465	0	0	0	0	0	0	1536	0	1477	0	1514	0	0	1540	0	1581	0	0	0	1542	0	1542	0	1508	0	0	0	1497	0	0	0	1441	1552	0	1520	0	0	1412	0	1520	0	1457	1502	0	0	0
14. Spieltag 1992 / 1993	14	0	0	0	0	0	0	0	0	0	1384	0	0	0	0	0	0	0	0	0	0	1456	0	0	0	0	0	0	1540	0	1489	0	1522	0	0	1532	0	1577	0	0	0	1548	0	1525	0	1501	0	0	0	1503	0	0	0	1451	1561	0	1527	0	0	1402	0	1513	0	1451	1519	0	0	0
15. Spieltag 1992 / 1993	15	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	0	1465	0	0	0	0	0	0	1554	0	1479	0	1507	0	0	1543	0	1596	0	0	0	1535	0	1506	0	1511	0	0	0	1492	0	0	0	1465	1568	0	1529	0	0	1393	0	1511	0	1464	1511	0	0	0
16. Spieltag 1992 / 1993	16	0	0	0	0	0	0	0	0	0	1374	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	1539	0	1477	0	1514	0	0	1561	0	1604	0	0	0	1517	0	1499	0	1500	0	0	0	1508	0	0	0	1475	1560	0	1536	0	0	1390	0	1513	0	1457	1495	0	0	0
17. Spieltag 1992 / 1993	17	0	0	0	0	0	0	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	1497	0	0	0	0	0	0	1545	0	1466	0	1502	0	0	1570	0	1593	0	0	0	1511	0	1510	0	1508	0	0	0	1497	0	0	0	1465	1572	0	1528	0	0	1381	0	1523	0	1468	1506	0	0	0
18. Spieltag 1992 / 1993	18	0	0	0	0	0	0	0	0	0	1351	0	0	0	0	0	0	0	0	0	0	1488	0	0	0	0	0	0	1554	0	1457	0	1489	0	0	1579	0	1602	0	0	0	1501	0	1519	0	1515	0	0	0	1491	0	0	0	1455	1579	0	1520	0	0	1375	0	1529	0	1479	1519	0	0	0
19. Spieltag 1992 / 1993	19	0	0	0	0	0	0	0	0	0	1365	0	0	0	0	0	0	0	0	0	0	1471	0	0	0	0	0	0	1535	0	1475	0	1480	0	0	1561	0	1611	0	0	0	1514	0	1510	0	1532	0	0	0	1489	0	0	0	1473	1566	0	1529	0	0	1375	0	1516	0	1478	1521	0	0	0
20. Spieltag 1992 / 1993	20	0	0	0	0	0	0	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	1461	0	0	0	0	0	0	1545	0	1469	0	1490	0	0	1567	0	1616	0	0	0	1501	0	1516	0	1534	0	0	0	1483	0	0	0	1463	1575	0	1520	0	0	1369	0	1514	0	1485	1533	0	0	0
21. Spieltag 1992 / 1993	21	0	0	0	0	0	0	0	0	0	1379	0	0	0	0	0	0	0	0	0	0	1477	0	0	0	0	0	0	1522	0	1460	0	1493	0	0	1546	0	1594	0	0	0	1523	0	1501	0	1547	0	0	0	1481	0	0	0	1478	1585	0	1532	0	0	1392	0	1497	0	1472	1521	0	0	0
